Fecha,Hora,Latitud,Longitud,Emisiones_Vehiculares,Emisiones_Industriales,Velocidad_Viento,Direccion_Viento,Temperatura,ICA_PM10,ICA_PM25
2024-01-01,00:00,4.61012,-74.08231,50,30,2.5,180,15,60,70
2024-01-01,01:00,4.60945,-74.08120,45,28,2.0,190,14,55,65
2024-01-01,02:00,4.60893,-74.08085,40,25,1.5,200,13,50,60
2024-01-01,03:00,4.61055,-74.08199,35,22,1.0,210,12,45,55
2024-01-01,04:00,4.60988,-74.08267,30,20,0.5,220,11,40,50
2024-01-01,05:00,4.60827,-74.08144,32,21,0.7,230,11.5,42,52
2024-01-01,06:00,4.61072,-74.08063,60,35,3.0,170,16,70,80
2024-01-01,07:00,4.60903,-74.08290,80,40,4.0,160,18,80,90
2024-01-01,08:00,4.61120,-74.08135,90,45,5.0,150,20,90,100
2024-01-01,09:00,4.60865,-74.08012,85,42,4.5,140,21,85,95
2024-01-01,10:00,4.61031,-74.08315,75,38,3.5,130,22,75,85
2024-01-01,11:00,4.60798,-74.08175,70,35,3.0,120,23,70,80
2024-01-01,12:00,4.61105,-74.08248,65,32,2.5,110,24,65,75
2024-01-01,13:00,4.60917,-74.08054,60,30,2.0,100,25,60,70
2024-01-01,14:00,4.60842,-74.08233,55,28,1.5,90,24,55,65
2024-01-01,15:00,4.61089,-74.08001,50,25,1.0,80,23,50,60
2024-01-01,16:00,4.60960,-74.08372,52,26,1.2,70,22,52,62
2024-01-01,17:00,4.60775,-74.08089,70,35,3.0,190,18,70,80
2024-01-01,18:00,4.61132,-74.08210,85,42,4.5,200,16,85,95
2024-01-01,19:00,4.60884,-74.08345,95,48,5.5,210,14,95,105
2024-01-01,20:00,4.61023,-74.08076,90,45,5.0,220,13,90,100
2024-01-01,21:00,4.60950,-74.08195,80,40,4.0,230,12,80,90
2024-01-01,22:00,4.60760,-74.08260,70,35,3.0,240,11,70,80
2024-01-01,23:00,4.61115,-74.08180,60,30,2.0,250,10,60,70
