Fecha,Hora,Latitud,Longitud,PM2.5,PM10,CO2,Velocidad_Viento,Direccion_Viento,Temperatura,Estabilidad,Altura_Fuente
2024-01-01,00:00:00,-74.1462666607011,4.604212087238562,38.51,92.45,402.81,1.14,172.04,19.27,D,19.01
2024-01-01,01:00:00,-74.15712675446927,4.6130453733040975,19.98,34.91,377.92,4.1,165.37,22.34,C,10.0
2024-01-01,02:00:00,-74.15049904593744,4.60197175411538,14.16,31.46,370.07,4.48,287.37,17.66,D,33.25
2024-01-01,03:00:00,-74.15426966245751,4.613269110728737,8.99,23.02,362.55,2.42,79.23,17.0,D,26.71
2024-01-01,04:00:00,-74.14879529961468,4.602092879742726,98.08,291.78,456.58,1.7,246.69,15.02,F,10.0
2024-01-01,05:00:00,-74.15829642170148,4.604941737344896,53.02,136.44,418.6,1.65,290.69,19.39,D,34.29
2024-01-01,06:00:00,-74.14785600859872,4.595871244451697,22.75,44.13,377.91,0.15,52.43,25.93,B,15.57
2024-01-01,07:00:00,-74.1463192340963,4.606983562779806,73.42,147.07,434.39,1.4,110.24,19.68,E,19.79
2024-01-01,08:00:00,-74.14339947904752,4.608459734415386,26.06,51.64,386.07,1.52,301.06,17.42,A,67.26
2024-01-01,09:00:00,-74.15749830472578,4.597518642616607,144.21,300.0,530.62,2.98,57.4,26.36,C,35.91
2024-01-01,10:00:00,-74.15765345364183,4.609215722010283,46.31,83.38,411.57,1.67,98.92,31.25,B,53.27
2024-01-01,11:00:00,-74.153542373003,4.615772806872762,14.85,31.59,370.11,2.27,10.54,25.38,A,27.79
2024-01-01,12:00:00,-74.15488975134996,4.604867959157379,17.72,47.1,369.48,1.26,339.33,26.88,C,50.05
2024-01-01,13:00:00,-74.15972648350356,4.607705772639757,27.28,66.34,377.74,4.78,250.92,24.35,B,59.61
2024-01-01,14:00:00,-74.14933907861793,4.610015653583959,11.45,21.44,364.76,1.24,265.8,23.1,C,43.07
2024-01-01,15:00:00,-74.14428804190368,4.615722608342325,67.81,146.94,417.87,2.05,44.84,21.76,C,31.88
2024-01-01,16:00:00,-74.15188315973734,4.600683485483731,60.8,110.69,414.03,5.27,166.82,21.57,B,85.8
2024-01-01,17:00:00,-74.16197826454172,4.596978901365033,29.77,65.26,387.07,2.04,172.39,27.63,C,78.24
2024-01-01,18:00:00,-74.14650635354752,4.610248358633916,18.57,45.43,370.29,0.62,342.79,16.75,D,78.69
2024-01-01,19:00:00,-74.15351971362811,4.610621015565977,39.4,97.2,392.65,4.66,147.5,16.37,D,42.79
2024-01-01,20:00:00,-74.14880298094856,4.6144578762039625,34.47,52.49,392.6,0.23,4.43,19.36,E,64.87
2024-01-01,21:00:00,-74.15366874824936,4.612180687650325,70.8,144.6,430.15,1.89,41.71,22.85,F,48.93
2024-01-01,22:00:00,-74.15604635342447,4.6028518938027,25.45,47.95,379.63,0.85,106.76,19.41,C,23.51
2024-01-01,23:00:00,-74.15486826996303,4.604918133036659,34.15,68.43,392.48,3.65,46.39,17.82,E,51.98
2024-01-01,00:00:00,-74.14337076097044,4.6103931295916425,15.9,39.45,372.39,2.7,103.47,17.07,C,53.87
2024-01-01,01:00:00,-74.149617683507,4.613204405064519,26.63,65.2,381.05,2.51,63.87,14.08,D,38.82
2024-01-01,02:00:00,-74.15556418797533,4.608781128926185,37.46,91.15,400.8,0.24,358.23,17.36,C,44.85
2024-01-01,03:00:00,-74.1541515882193,4.5987353001469655,66.56,193.8,439.4,0.28,40.1,16.45,D,36.24
2024-01-01,04:00:00,-74.15554108716647,4.6057360347837815,47.6,84.74,415.24,0.52,10.55,14.58,D,31.0
2024-01-01,05:00:00,-74.15135055197973,4.602596799953506,35.81,84.77,398.89,0.25,136.41,16.61,D,36.03
2024-01-01,06:00:00,-74.16014938295959,4.60759281203131,28.01,79.38,390.84,2.49,120.81,23.36,A,35.04
2024-01-01,07:00:00,-74.15948025428264,4.610380509259735,35.43,105.55,393.51,7.68,341.23,22.69,D,10.0
2024-01-01,08:00:00,-74.14657109441019,4.612487830401679,66.6,109.88,433.95,2.89,310.79,24.49,D,43.27
2024-01-02,09:00:00,-74.15846358871356,4.6068764627086285,44.24,88.55,400.99,0.63,69.85,30.97,B,26.52
2024-01-02,10:00:00,-74.14962093661747,4.597121932903832,35.79,55.33,388.1,5.04,129.5,23.27,C,36.03
2024-01-02,11:00:00,-74.14671662354037,4.606874377235818,41.44,112.61,394.52,3.1,178.2,21.97,B,29.32
2024-01-02,12:00:00,-74.15670511433687,4.609917800546195,11.33,31.53,361.73,3.57,353.02,30.65,B,88.22
2024-01-02,13:00:00,-74.14263426263751,4.61257545740536,12.87,24.96,362.68,2.53,32.8,24.54,B,17.38
2024-01-02,14:00:00,-74.15016121891618,4.59982806173328,21.37,36.65,379.75,8.67,124.3,27.04,B,70.71
2024-01-02,15:00:00,-74.15914469772248,4.601662333456331,32.07,81.02,392.51,2.25,145.66,22.99,C,72.55
2024-01-02,16:00:00,-74.15004442888095,4.595659362997126,17.7,44.98,374.53,0.49,50.84,22.45,A,42.31
2024-01-02,17:00:00,-74.15614726624464,4.599484766263958,14.36,38.72,371.86,8.79,182.45,26.85,A,46.67
2024-01-02,18:00:00,-74.15537315527351,4.609667951864078,30.52,48.61,385.21,0.54,195.58,14.49,D,38.87
2024-01-02,19:00:00,-74.15305855790905,4.615900054041087,69.28,188.27,425.65,1.33,183.36,18.05,C,71.11
2024-01-02,20:00:00,-74.1501885062616,4.597202192427471,9.08,22.28,359.71,0.39,282.89,15.89,C,87.79
2024-01-02,21:00:00,-74.14241285025209,4.613105049349635,10.64,18.62,361.65,0.59,352.22,18.07,C,27.79
2024-01-02,22:00:00,-74.16080899603696,4.597944810460812,28.26,78.49,380.52,3.08,51.83,15.82,D,10.0
