Fecha,Hora,Latitud,Longitud,Emisiones_Vehiculares,Emisiones_Industriales,Velocidad_Viento,Direccion_Viento,Temperatura,ICA_PM10,ICA_PM25
2024-01-01,00:00,4.6500,-74.0500,60,35,2.5,180,15,65,75
2024-01-01,01:00,4.6600,-74.0600,55,32,2.0,190,14,60,70
2024-01-01,02:00,4.6700,-74.0700,50,30,1.5,200,13,55,65
2024-01-01,03:00,4.6800,-74.0800,45,28,1.0,210,12,48,58
2024-01-01,04:00,4.6900,-74.0900,40,25,0.5,220,11,43,53
2024-01-01,05:00,4.7000,-74.1000,42,27,0.7,230,11.5,45,55
2024-01-01,06:00,4.7100,-74.1100,70,40,3.0,170,16,75,85
2024-01-01,07:00,4.7200,-74.1200,90,45,4.0,160,18,85,95
2024-01-01,08:00,4.7300,-74.1300,100,50,5.0,150,20,95,105
2024-01-01,09:00,4.7400,-74.1400,95,48,4.5,140,21,90,100
2024-01-01,10:00,4.7500,-74.1500,85,42,3.5,130,22,80,90
2024-01-01,11:00,4.7600,-74.1600,80,40,3.0,120,23,75,85
2024-01-01,12:00,4.7700,-74.1700,75,38,2.5,110,24,70,80
2024-01-01,13:00,4.7800,-74.1800,70,35,2.0,100,25,65,75
2024-01-01,14:00,4.7900,-74.1900,65,32,1.5,90,24,60,70
2024-01-01,15:00,4.8000,-74.2000,60,30,1.0,80,23,55,65
2024-01-01,16:00,4.6400,-74.0400,62,31,1.2,70,22,58,68
2024-01-01,17:00,4.6300,-74.0300,80,40,3.0,190,18,78,88
2024-01-01,18:00,4.6200,-74.0200,95,48,4.5,200,16,88,98
2024-01-01,19:00,4.6100,-74.0100,105,52,5.5,210,14,98,108
2024-01-01,20:00,4.6000,-74.0000,100,50,5.0,220,13,93,103
2024-01-01,21:00,4.5900,-73.9900,90,45,4.0,230,12,83,93
2024-01-01,22:00,4.5800,-73.9800,80,40,3.0,240,11,73,83
2024-01-01,23:00,4.5700,-73.9700,70,35,2.0,250,10,63,73
2024-01-01,00:00,4.7000,-74.0800,75,40,2.5,180,15,70,80
2024-01-01,01:00,4.7100,-74.0900,70,38,2.0,190,14,65,75
2024-01-01,02:00,4.7200,-74.1000,65,35,1.5,200,13,60,70
2024-01-01,03:00,4.7300,-74.1100,60,32,1.0,210,12,53,63
2024-01-01,04:00,4.7400,-74.1200,55,30,0.5,220,11,48,58
2024-01-01,05:00,4.7500,-74.1300,57,31,0.7,230,11.5,50,60
2024-01-01,06:00,4.7600,-74.1400,85,45,3.0,170,16,80,90
2024-01-01,07:00,4.7700,-74.1500,105,50,4.0,160,18,90,100
2024-01-01,08:00,4.7800,-74.1600,115,55,5.0,150,20,100,110
2024-01-01,09:00,4.7900,-74.1700,110,53,4.5,140,21,95,105
2024-01-01,10:00,4.8000,-74.1800,100,48,3.5,130,22,90,100
2024-01-01,11:00,4.6450,-74.0450,95,45,3.0,120,23,85,95
2024-01-01,12:00,4.6550,-74.0550,90,42,2.5,110,24,80,90
2024-01-01,13:00,4.6650,-74.0650,85,40,2.0,100,25,75,85
2024-01-01,14:00,4.6750,-74.0750,80,38,1.5,90,24,70,80
2024-01-01,15:00,4.6850,-74.0850,75,35,1.0,80,23,65,75
2024-01-01,16:00,4.6950,-74.0950,77,36,1.2,70,22,70,80
2024-01-01,17:00,4.7050,-74.1050,95,45,3.0,190,18,85,95
2024-01-01,18:00,4.7150,-74.1150,110,53,4.5,200,16,95,105
2024-01-01,19:00,4.7250,-74.1250,120,58,5.5,210,14,105,115
2024-01-01,20:00,4.7350,-74.1350,115,55,5.0,220,13,100,110
2024-01-01,21:00,4.7450,-74.1450,105,50,4.0,230,12,90,100
2024-01-01,22:00,4.7550,-74.1550,95,45,3.0,240,11,80,90
2024-01-01,23:00,4.7650,-74.1650,85,42,2.0,250,10,70,80
