Fecha,Hora,Latitud,Longitud,PM2.5,PM10,CO2,Velocidad_Viento,Direccion_Viento,Temperatura,Estabilidad,Altura_Fuente
2025-04-01,00:00:00,-74.1449916499127,4.60620813155763,30.45,75.89,392.49,0.69,169.67,17.31,D,38.46
2025-04-01,01:00:00,-74.14639249621257,4.617874613798032,51.19,107.62,399.98,2.04,237.09,16.28,C,35.89
2025-04-01,02:00:00,-74.15843913119518,4.602776147306141,49.9,99.04,401.16,1.31,175.59,18.79,E,32.32
2025-04-01,03:00:00,-74.14616796011546,4.598176934867638,20.7,33.99,377.8,2.86,61.07,18.85,C,53.21
2025-04-01,04:00:00,-74.1523440699871,4.6102807778651895,16.73,27.45,366.9,0.66,329.65,18.93,C,18.56
2025-04-01,05:00:00,-74.14730172515458,4.607483618432654,63.82,127.81,419.91,2.09,290.37,17.16,D,35.75
2025-04-01,06:00:00,-74.15438572324847,4.5964495321958525,43.31,108.45,402.84,0.23,16.74,31.35,B,30.61
2025-04-01,07:00:00,-74.16064460564765,4.605752420785682,54.45,117.52,406.18,5.63,15.03,23.37,D,36.02
2025-04-01,08:00:00,-74.14481350804034,4.603357784657144,36.8,70.37,391.34,3.23,285.86,21.02,D,14.1
2025-04-01,09:00:00,-74.15630573910748,4.605328732586107,29.89,82.55,385.68,0.55,27.37,25.22,B,73.31
2025-04-01,10:00:00,-74.14784675922606,4.596353351405507,12.47,35.1,366.15,2.18,317.3,26.15,B,39.63
2025-04-01,11:00:00,-74.14818031888584,4.614296324496961,36.61,76.6,388.51,7.43,208.0,29.7,B,39.98
2025-04-01,12:00:00,-74.15318480771224,4.603169244073011,82.22,133.15,450.23,1.08,152.09,23.54,D,34.8
2025-04-01,13:00:00,-74.14803469243333,4.607550101391808,25.97,41.66,379.91,6.65,74.63,23.16,B,44.42
2025-04-01,14:00:00,-74.1406770399784,4.616120506545489,22.26,58.88,380.99,7.34,354.98,25.34,A,43.8
2025-04-01,15:00:00,-74.15239673092765,4.604516424471028,118.54,300.0,521.87,1.67,270.39,25.85,D,31.51
2025-04-01,16:00:00,-74.15371542673661,4.610360868830808,41.26,109.54,410.07,3.91,68.42,22.68,B,83.06
2025-04-01,17:00:00,-74.15785670345413,4.600442330405169,27.04,79.44,381.23,3.04,213.61,31.33,B,39.09
